"tx_start_utc","tx_start_ms","tx_end_ms","event","bytes","write_us","uart_wire_ms","left_pwm","right_pwm","pulses"
"2026-08-29T14:24:14.4107232Z","57.507","65.229","LOCK","41","7003.6","42.708","0","0","0"
"2026-08-29T14:24:14.6730492Z","318.411","318.617","LOCK","41","199.8","42.708","0","0","0"
"2026-08-29T14:24:14.8745048Z","519.297","519.588","LOCK","41","285.7","42.708","0","0","0"
"2026-08-29T14:24:17.8858530Z","3531.292","3531.628","RUN","41","321.7","42.708","8","8","0"
"2026-08-29T14:24:27.9022139Z","13547.544","13547.79","LOCK","41","241.6","42.708","0","0","0"
"2026-08-29T14:24:28.1022160Z","13747.382","13747.616","LOCK","41","223.3","42.708","0","0","0"
"2026-08-29T14:24:28.3063301Z","13951.493","13951.724","LOCK","41","222.2","42.708","0","0","0"
"2026-08-29T14:24:35.6839072Z","21329.33","21329.663","RUN","41","326.5","42.708","8","8","0"
"2026-08-29T14:24:40.6344619Z","26279.681","26279.952","LOCK","41","267.1","42.708","0","0","0"
"2026-08-29T14:24:40.8406042Z","26486.037","26486.416","LOCK","41","366.3","42.708","0","0","0"
"2026-08-29T14:24:41.0465517Z","26691.753","26691.949","LOCK","41","188.7","42.708","0","0","0"
"2026-08-29T14:24:53.3091247Z","38954.361","38954.682","RUN","41","313.7","42.708","8","8","0"
"2026-08-29T14:25:03.3260139Z","48971.457","48971.727","LOCK","41","261.9","42.708","0","0","0"
"2026-08-29T14:25:03.5316259Z","49176.919","49177.211","LOCK","41","281.4","42.708","0","0","0"
"2026-08-29T14:25:03.7373850Z","49382.953","49383.33","LOCK","41","363.5","42.708","0","0","0"
"2026-08-29T14:25:17.0676570Z","62713.11","62713.447","LOCK","41","323.8","42.708","0","0","0"
"2026-08-29T14:25:17.2731928Z","62918.621","62918.924","LOCK","41","287.8","42.708","0","0","0"
"2026-08-29T14:25:17.4798981Z","63125.533","63125.866","LOCK","41","319.4","42.708","0","0","0"
"2026-08-29T14:25:17.4839983Z","63130.464","63167.261","LOCK","41","36783.6","42.708","0","0","0"
"2026-08-29T14:25:17.7178193Z","63362.992","63363.182","LOCK","41","179.9","42.708","0","0","0"
"2026-08-29T14:25:17.9247104Z","63569.837","63570.037","LOCK","41","195.4","42.708","0","0","0"
